Node_Label,ID_,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_display,cat_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude
529129,529129,lec208-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D77773,529129,,
638385,638385,lec208-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,638385,,
341991,341991,lec208-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,341991,,
346983,346983,lec208-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CE4B98,346983,,
538349,538349,lec208-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D08096,538349,,
450468,450468,lec209-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,450468,,
472169,472169,lec209-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,472169,,
475468,475468,lec209-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,475468,,
637205,637205,lec209-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D73EED,637205,,
368825,368825,lee1957-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E7BF08,368825,,
600897,600897,lee1957-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D76CF4,600897,,
135501,135501,lee1957-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE9C60,135501,,
643689,643689,lee1957-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,643689,,
643709,643709,lee1957-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,643709,,
225898,225898,lee1959-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE83AF,225898,,
121653,121653,lee1959-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE5CE3,121653,,
444828,444828,lee1959-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CFE1A1,444828,,
638541,638541,lee1959-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,638541,,
53485,53485,lee1961-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,850EAA,53485,,
312847,312847,lee1961-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E800B8,312847,,
611091,611091,lee1961-olt-10_SECONDARY,gpon2,254.0.0.1,N,,ONT,,42E94D,611091,,
613428,613428,lee1961-olt-10_SECONDARY,gpon2,254.0.0.1,N,,ONT,,43112C,613428,,
621730,621730,lee1961-olt-10_SECONDARY,gpon2,254.0.0.1,N,,ONT,,42E788,621730,,
245276,245276,lee1985-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,245276,,
463571,463571,lee1985-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,463571,,
176275,176275,lee1985-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE4813,176275,,
608648,608648,lee1985-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,42FADF,608648,,
316439,316439,low108-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,316439,,
583806,583806,low108-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E749AC,583806,,
276849,276849,low108-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,276849,,
313588,313588,low108-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,313588,,
645816,645816,low108-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,645816,,
ALCLFCA45C31,ALCLFCA45C31,LT1-blk1-olt-301_SECONDARY,gpon2,254.0.0.1,N,,ONT,,ALCLFCA45C31,ALCLFCA45C31,,
ALCLFCA4794D,ALCLFCA4794D,LT1-blk1-olt-301_SECONDARY,gpon2,254.0.0.1,N,,ONT,,ALCLFCA4794D,ALCLFCA4794D,,
576025,576025,LT1-blk1-olt-302_SECONDARY,gpon2,254.0.0.1,N,,ONT,,ALCLFCA46089,576025,,
ALCLFC9D4ED5,ALCLFC9D4ED5,LT1-mid1-olt-503_SECONDARY,gpon2,254.0.0.1,N,,ONT,,ALCLFC9D4ED5,ALCLFC9D4ED5,,
600935,600935,LT1-she504-olt-702_SECONDARY,gpon2,254.0.0.1,N,,ONT,,ALCLFCA3FB0C,600935,,
ALCLFD0373D8,ALCLFD0373D8,LT2-hav1-olt-303_SECONDARY,gpon2,254.0.0.1,N,,ONT,,ALCLFD0373D8,ALCLFD0373D8,,
627378,627378,LT2-mid1-olt-502_SECONDARY,gpon2,254.0.0.1,N,,ONT,,627378/ENET_UNI_10GE,627378,,
617017,617017,LT2-she503-olt-502_SECONDARY,gpon2,254.0.0.1,N,,ONT,,ALCLFCA3F924,617017,,
ALCLFCA40982,ALCLFCA40982,LT2-she504-olt-702_SECONDARY,gpon2,254.0.0.1,N,,ONT,,ALCLFCA40982,ALCLFCA40982,,
ALCLFC8AD327,ALCLFC8AD327,LT2-sun18-olt-501_SECONDARY,gpon2,254.0.0.1,N,,ONT,,ALCLFC8AD327,ALCLFC8AD327,,
344536,344536,lut3-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CE79EA,344536,,
614923,614923,lut3-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,614923,,
293334,293334,mdh78-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,293334,,
315273,315273,mdh78-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,315273,,
448197,448197,mdh78-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,448197,,
525904,525904,mdh78-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,525904,,
642234,642234,mdh78-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,642234,,
434549,434549,mid1-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,434549,,
646576,646576,mid1-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,646576,,
610648,610648,mk901-olt-10_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E838BF,610648,,
1147,1147,mk901-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,47E44E,1147,,
3573,3573,mk901-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,5B3A1C,3573,,
4759,4759,mk901-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,5B332C,4759,,
602838,602838,mk901-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E6EE28,602838,,
7127,7127,mk901-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,63D5BD,7127,,
7586,7586,mk901-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D83F0D,7586,,
21119,21119,mk901-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,689A76,21119,,
21387,21387,mk901-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,21387,,
31871,31871,mk901-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,7EC842,31871,,
318109,318109,mk901-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,318109,,
486127,486127,mk901-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D00E01,486127,,
81452,81452,mk938-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,81452,,
19587,19587,mk938-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,19587,,
